Country Name,Country,IM_Deaths2
Singapore,3400,4968
Republic of Korea,2020,4874
Antigua and Barbuda,4280,4613
Rodrigues,4310,4428
Republic of Moldova,3325,4377
Romania,2180,3551
Estonia,4045,3321
Brunei Darussalam,4150,3127
Grenada,4240,3125
Portugal,2120,2966
Bermuda,4270,2948
Occupied Palestinian Territory,4210,2916
Chile,2150,2807
Saint Kitts and Nevis,4290,2623
Mauritius,4010,2578
Cuba,2250,2475
Anguilla,4330,2354
"United Kingdom, Scotland",2360,2184
Cyprus,4038,2032
Saint Vincent and Grenadines,4220,1983
Qatar,4184,1972
Aruba,4188,1941
Guatemala,2350,1883
Austria,2340,1780
Lithuania,2460,1716
Uruguay,3260,1576
Paraguay,2380,1554
Virgin Islands (USA),4260,1470
Montserrat,4335,1337
Uzbekistan,3350,960
Turkey,1300,803
Nicaragua,3080,782
Belize,4055,708
Czech Republic,2045,515
Panama,3030,502
Iceland,4160,360
Puerto Rico,3320,326
Ecuador,2025,297
Mongolia,3283,293
Norway,2420,290
Netherlands,2230,285
Kyrgyzstan,2455,234
Hungary,2050,210
"United Kingdom, England and Wales",2010,209
Croatia,2385,179
Argentina,1365,111
Spain,2005,70
Sweden,2320,34
